,Unnamed: 0.1,Unnamed: 0,metal_amount_mmol,ligand_amount_mmol,reductant_amount_mmol,sol1_vol_mL,solv2_vol_mL,time_min,temp_c,7,8,9,10,11,size_nm,g_factor*10^4.1
165,165,165,1.963575560835729,1.0462697080271377,0.27427277114039,0.2344455657770039,1.1348447159235602,-0.5935094182429437,0.4144804905243794,1.0,71.0,15.0,9.0,4.0,3.5,10
166,166,166,-0.8192534186804323,-0.4524139054830568,-0.2684882322672935,-0.7458916181466898,-0.5251573428569705,-0.6514263633986239,-0.9970068536845296,6.0,40.0,15.0,9.0,1.0,20.0,0.505326137
167,167,167,-0.8192534186804323,-0.4522640221333708,-0.2684882322672935,-0.7458916181466898,-0.5251573428569705,-0.6514263633986239,-0.9970068536845296,6.0,40.0,15.0,9.0,1.0,20.0,1.010652275
168,168,168,-0.8192534186804323,-0.4519392748757179,-0.2684882322672935,-0.7458916181466898,-0.5251573428569705,-0.6514263633986239,-0.9970068536845296,6.0,40.0,15.0,9.0,1.0,11.988,2.02130455
169,169,169,-0.8192534186804323,-0.4513147609186929,-0.2684882322672935,-0.7458916181466898,-0.5251573428569705,-0.6514263633986239,-0.9970068536845296,6.0,40.0,15.0,9.0,1.0,11.988,2.526630687
170,170,170,0.5704196261593028,0.0470473767872174,0.0028379824788159,-0.276892418744013,1.549845230618693,-0.5355924730872634,-0.1763746768188848,1.0,79.0,15.0,9.0,4.0,0.57,4.85113092
171,171,171,0.5704196261593028,0.0470473767872174,0.0028379824788159,-0.276892418744013,1.549845230618693,-0.5355924730872634,-0.1763746768188848,1.0,79.0,15.0,9.0,4.0,1.18,2.42556546
172,172,172,0.5704196261593028,0.0470473767872174,0.0028379824788159,-0.276892418744013,1.549845230618693,-0.5355924730872634,-0.1763746768188848,1.0,79.0,15.0,9.0,4.0,1.75,1.21278273
173,173,173,1.963575560835729,1.545880873647098,-0.2604537625229109,0.6435159533938174,3.624847804094357,-0.5355924730872634,-0.1763746768188848,1.0,49.0,15.0,9.0,4.0,1.0,5
174,174,174,0.319651557917546,-0.3676298906773496,-0.0514489752534988,-0.5836952094566232,-0.3176570855094041,1.607334497672906,-0.1763746768188848,1.0,0.0,15.0,9.0,5.0,7.0,3.031956825
175,175,175,-0.2654739346465528,-0.1527970894607667,-0.2143098484504433,-0.6859628063608266,-0.2139069568356209,4.850683426391001,-0.1763746768188848,1.0,62.0,15.0,9.0,4.0,3.466666666666667,14
176,176,176,-0.1261583411789102,0.0470473767872174,-0.1328794118519711,-0.5325614110045215,0.5123439438808612,-0.5935094182429437,-0.9970068536845296,1.0,71.0,15.0,9.0,4.0,1.3199999999999998,10.10652275
179,179,179,-0.0481416088370303,0.1439719429174896,-0.103564454676521,-0.5836952094566232,-0.1101568281618378,2.6266727324128785,-0.1763746768188848,1.0,61.0,15.0,9.0,2.0,1.3199999999999998,9.095870475
180,180,180,0.0967466083693179,0.1859392808295663,1.6980025246280783,-0.6859628063608266,-0.1101568281618378,-0.3618416376202226,-0.1763746768188848,1.0,13.0,15.0,9.0,2.0,1.815,2.42556546
181,181,181,0.319651557917546,0.1619579448798082,-0.0514489752534988,-0.5836952094566232,-0.3176570855094041,3.924012303900117,-0.1763746768188848,1.0,18.0,15.0,9.0,5.0,7.0,4.0426091
182,182,182,0.0131572522887323,0.4467363092831856,-0.2197385442236747,-0.3791600156482164,-0.3176570855094041,-0.4776755279315831,-0.1763746768188848,1.0,18.0,15.0,0.0,5.0,3.466666666666667,3.031956825
184,184,184,0.2388485137063133,0.0970084933492134,-0.0514489752534988,-0.5836952094566232,-0.3176570855094041,2.070670058918348,-0.1763746768188848,1.0,22.0,15.0,9.0,0.0,1.815,12
185,185,185,0.2388485137063133,0.0970084933492134,-0.0514489752534988,-0.5836952094566232,-0.3176570855094041,2.070670058918348,-0.1763746768188848,1.0,49.0,15.0,9.0,0.0,1.815,2.3
186,186,186,6.254495839639121,4.633477877178452,1.3600119257866865,1.257121534819038,3.624847804094357,-0.5935094182429437,-0.9970068536845296,1.0,22.0,15.0,9.0,4.0,1.0,4.7
187,187,187,6.254495839639121,4.633477877178452,1.3600119257866865,1.257121534819038,3.624847804094357,-0.5935094182429437,-0.9970068536845296,1.0,17.0,15.0,9.0,4.0,1.0,0
188,188,188,1.963575560835729,1.545880873647098,7.874446853664463,0.6435159533938174,3.624847804094357,-0.5355924730872634,-0.1763746768188848,1.0,49.0,15.0,9.0,4.0,0.7,4
189,189,189,1.963575560835729,1.545880873647098,7.874446853664463,0.6435159533938174,3.624847804094357,-0.5355924730872634,-0.1763746768188848,1.0,49.0,15.0,9.0,4.0,0.8,1
